#Organism/Name	Size (Mb)	GC%	Genes	Proteins
Thermacetogenium phaeum DSM 12270	2.93906	53.9	2894	2766
Thermacetogenium phaeum DSM 12270	2.92313	53.8	2856	2722
Halococcus hamelinensis 100A6	3.38368	65.5	3405	3146
Halococcus hamelinensis 100A6	3.41907	65.4	3385	3268
Paenibacillus terrae HPL-003	6.0834	46.8	5396	5137
Gordonia rubripertincta NBRC 101908	5.20423	67.4	4754	4558
Amycolatopsis balhimycina FH 1894	10.8585	70.8	9645	9360
Gordonia terrae NBRC 100016	5.66915	67.8	5078	4885
Mobilicoccus pelagius NBRC 104925	3.54492	71.9	3080	2895
Streptococcus macedonicus ACA-DC 198	2.14276	37.5846	2116	1808
Nitrolancea hollandica Lb	3.8881	62.6	3850	3286
Thioalkalivibrio thiocyanodenitrificans ARhD 1	3.74665	64.8	3555	3419
Lactobacillus vini DSM 20605	2.19571	37.6	2168	1997
Leucothrix mucor DSM 2157	5.18567	47.8	4682	4528
Candidatus Uzinura diaspidicola str. ASNER	0.263431	30.2	272	227
Streptomyces somaliensis DSM 40738	5.1769	74.1	4619	4322
Pseudomonas fragi A22	5.07089	58.6	4571	4443
Methanolobus tindarius DSM 2278	3.15188	39.8	2963	2877
Nocardia brasiliensis ATCC 700358	9.43635	68	8430	8243
Methylocystis parvus OBBP	4.47591	63.4	4309	4124
Lactobacillus kisonensis F0435	2.98706	41.6	2802	2447
Vibrio cyclitrophicus ZF14	5.18151	43.5	4555	4364
Rudanella lutea DSM 19387	6.54604	54.3	5201	5107
Thermococcus litoralis DSM 5473	2.21517	43.1	2432	2292
Actinopolyspora halophila DSM 43834	5.35329	68	4813	4654
Gordonia sputi NBRC 100414	4.95298	65.3	4516	4295
Rubrivivax gelatinosus IL144	5.04325	71.2	4588	4475
Sphingomonas melonis C3	3.92964	67.2	3683	3603
Enterococcus dispar ATCC 51266	2.82223	37.2	2674	2584
Enterococcus dispar ATCC 51266	2.81292	37.2	2686	2595
Enterococcus cecorum DSM 20682 = ATCC 43198	2.34085	36.4	2385	2247
Enterococcus cecorum DSM 20682 = ATCC 43198	2.42007	36.6	2439	2309
Enterococcus cecorum DSM 20682 = ATCC 43198	2.40848	36.5	2422	2306
Enterococcus avium ATCC 14025	4.65541	39.1	4537	4405
Enterococcus avium ATCC 14025	4.61428	39	4515	4419
Enterococcus columbae DSM 7374 = ATCC 51263	2.50673	36.3	2351	2268
Enterococcus columbae DSM 7374 = ATCC 51263	2.58304	36.6	2393	2290
Enterococcus columbae DSM 7374 = ATCC 51263	2.5451	36.4	2360	2294
Enterococcus sulfureus ATCC 49903	2.30646	38	2242	2148
Enterococcus sulfureus ATCC 49903	2.30165	37.9	2246	2154
Staphylococcus delphini 8086	2.50821	38.3	2375	2299
Staphylococcus intermedius NCTC 11048	2.73713	37.3	2609	2510
Providencia burhodogranariea DSM 19968	4.57945	39.1	3925	3770
Methanocaldococcus villosus KIN24-T80	1.24938	29.5	1401	1342
Methanocaldococcus villosus KIN24-T80	1.20736	29.4	1368	1213
Amycolatopsis nigrescens CSC17Ta-90	9.11101	70	8469	8305
Amycolatopsis methanolica 239	7.19686	71.5	7040	6607
Lactobacillus gastricus PS3	1.90487	41.8	1945	1834
Corallococcus coralloides DSM 2259	10.0806	69.9	8054	7840
Caldilinea aerophila DSM 14535 = NBRC 104270	5.14487	58.8	4095	3954
Geobacillus thermoleovorans CCB_US3_UF5	3.59662	52.3	3564	3371
Thermus oshimai JL-2	2.40133	68.5952	2524	2436
Streptomyces viridosporus T7A	8.2933	72.4	7307	6965
Rhizobium mesoamericanum STM3625	6.46193	58.9	6249	5952
Rhizobium grahamii CCGE 502	7.14604	59.4	6842	6562
Vibrio ordalii ATCC 33509	3.41217	44.7	3081	2827
Sulfurospirillum barnesii SES-3	2.51011	38.8	2541	2478
Scytonema hofmanni PCC 7110	12.0113	41.5	10205	9596
Thermoanaerobacter siderophilus SR4	2.54016	34.2	2526	2100
Frateuria aurantia DSM 6220	3.60346	63.4	3250	3112
Clostridium colicanis 209318	3.50562	26.5	3265	3130
Solibacillus silvestris StLB046	3.98423	38.5903	3971	3800
Photorhabdus temperata subsp. temperata M1021	5.59825	43.8	4986	3710
Methylobacterium mesophilicum SR1.6/6	6.21445	69.5	5771	5590
Pseudomonas chlororaphis O6	6.98025	62.9	6232	6101
Actinomyces europaeus ACS-120-V-Col10b	1.90671	56.6	1693	1608
Actinomyces turicensis ACS-279-V-Col4	1.96775	57.1	1727	1629
Anaeroglobus geminatus F0357	1.79885	49	1799	1481
Campylobacter ureolyticus DSM 20703	1.74059	28.9	1776	1695
Facklamia hominis CCUG 36813	1.89762	39	1760	1669
Propionimicrobium lymphophilum ACS-093-V-SCH5	2.26677	55.9	2072	1977
Afipia broomeae ATCC 49717	5.26197	61.3	5017	4918
Flexibacter litoralis DSM 6794	4.91934	30.7	4023	3907
Burkholderiales bacterium JOSHI_001	5.60063	68.8	4911	4793
Sulfurimonas gotlandica GD1	2.95268	33.6	2890	2825
Sulfurimonas gotlandica GD1	2.94631	33.6	2885	2807
Candidatus Symbiobacter mobilis CR	2.99184	59.1	2426	2289
Saccharomonospora azurea NA-128	4.76385	70	4390	4195
Opitutaceae bacterium TAV1	7.07348	63.2	5798	5644
Acinetobacter parvus DSM 16617 = CIP 108168	2.87804	41.6	2855	2558
Acinetobacter parvus DSM 16617 = CIP 108168	2.91264	41.8	2824	2658
Geminocystis herdmanii PCC 6308	4.26342	34.3	4030	3887
Prochlorothrix hollandica PCC 9006	5.64634	54.3	4419	4135
Rickettsia helvetica C9P9	1.41711	32.2133	1490	1158
Phycisphaera mikurensis NBRC 102666	3.88438	73.2311	3134	3025
Zavarzinella formosa DSM 19928	10.0864	58.8	8658	8140
Candidatus Methylomirabilis oxyfera	2.75285	58.6	3146	3072
Candidatus Caldiarchaeum subterraneum	1.68094	51.6	1790	1730
Sporolactobacillus vineae DSM 21990 = SL153	2.86236	49.5	2776	2689
Sporolactobacillus vineae DSM 21990 = SL153	2.87398	49.5	2782	2689
Orenia marismortui DSM 5156	3.45977	30.7	3228	3091
Pelosinus fermentans DSM 17108	4.93015	39.7	4537	4427
Pedobacter agri PB92	5.14155	38	4757	4293
Sphingomonas phyllosphaerae 5.2	3.92097	67.2	3556	3433
Salisaeta longa DSM 21114	3.39902	63.5	2747	2635
Glaciecola punicea DSM 14233 = ACAM 611	3.07686	43.1	2711	2597
Pseudomonas fuscovaginae UPB0736	6.70843	60.8	5641	5424
Micromonospora lupini str. Lupac 08	7.32582	71.9	6695	6420
Natronorubrum tibetense GA33	4.92684	62.3	4650	4498
Natronorubrum tibetense GA33	4.93484	62.3	4617	4531
Serratia plymuthica 4Rx13	5.40373	56.0879	4931	4724
Serratia plymuthica AS9	5.44288	56	5012	4882
Pseudomonas avellanae BPIC 631	6.62562	57.3	5525	4771
Pseudomonas avellanae BPIC 631	5.96274	58.5	5300	4990
Thermococcus zilligii AN1	1.76456	54.5	1883	1785
Methylovulum miyakonense HT12	4.68714	50.7	4285	4144
Borrelia crocidurae str. Achema	1.52889	29.1638	1397	1183
Serinicoccus profundi MCCC 1A05965	3.4339	72	3197	3017
Agrobacterium albertimagni AOL15	5.08506	61.2	4821	4701
Amycolatopsis orientalis HCCB10007	8.98209	68.9996	8182	8058
Alcaligenes faecalis subsp. faecalis NCIB 8687	3.89962	57.2	3571	3443
Diplorickettsia massiliensis 20B	1.72797	38.9	1926	1611
Bradyrhizobium elkanii USDA 76	9.48477	63.7	8709	8412
Phaeobacter inhibens DSM 17395	4.22713	59.7869	3965	3871
Sporichthya polymorpha DSM 43042	5.50015	71.4	5192	4997
Halomicrobium katesii DSM 19301	3.60777	65	3566	3394
Succinispira mobilis DSM 6222	2.08524	36.2	1956	1877
Enterococcus malodoratus ATCC 43197	4.65424	40	4499	4332
Enterococcus malodoratus ATCC 43197	4.62713	39.9	4510	4352
Enterococcus raffinosus ATCC 49464	4.29432	39.4	4199	4001
Enterococcus raffinosus ATCC 49464	4.31037	39.4	4222	4007
Enterococcus villorum ATCC 700913	3.08076	35.1	2820	2602
Enterococcus villorum ATCC 700913	3.06072	35	2815	2608
Enterococcus asini ATCC 700915	2.59872	44.8	2455	2354
Enterococcus asini ATCC 700915	2.57271	44.7	2490	2363
Enterococcus pallens ATCC BAA-351	5.49061	40.1	5250	5053
Enterococcus pallens ATCC BAA-351	5.43745	40	5233	5063
Enterococcus haemoperoxidus ATCC BAA-382	3.58092	35.8	3243	3128
Enterococcus haemoperoxidus ATCC BAA-382	3.58192	35.7	3239	3138
Enterococcus moraviensis ATCC BAA-383	3.60184	36.1	3365	3274
Enterococcus moraviensis ATCC BAA-383	3.58611	36	3364	3279
Enterococcus phoeniculicola ATCC BAA-412	3.93129	36.5	3541	3433
Enterococcus phoeniculicola ATCC BAA-412	3.91097	36.4	3536	3432
Enterococcus caccae ATCC BAA-1240	3.55959	35.8	3262	3153
Enterococcus caccae ATCC BAA-1240	3.55191	35.8	3257	3158
Enterococcus gilvus ATCC BAA-350	4.16214	41.4	4092	3927
Enterococcus gilvus ATCC BAA-350	4.17991	41.4	4119	3950
Methylomicrobium buryatense 5G	5.06728	48.7	4332	4187
Cronobacter dublinensis 1210	4.60063	57.8	4298	3593
Cronobacter universalis NCTC 9529	4.52463	57.3	4407	3280
Ureibacillus thermosphaericus str. Thermo-BF	2.84611	35.6	2721	2659
Microbacterium laevaniformans OR221	3.42611	68	3167	3054
Streptomyces auratus AGR0001	7.88542	71.3	6650	6350
Staphylococcus equorum subsp. equorum Mu2	2.92717	32.8	2856	2733
Herbaspirillum lusitanum P6-12	4.90487	60.3	4731	3917
Haemophilus sputorum CCUG 13788	2.14354	39.7	2059	1979
Listeria fleischmannii subsp. coloradonensis	2.81751	38.6	2853	2487
Rhodanobacter spathiphylli B39	3.91058	66.5	3409	3319
Rhodanobacter fulvus Jip2	3.8796	65.6	3418	3316
Rhodanobacter thiooxydans LCS2	4.0939	67.2	3623	3485
Candidatus Portiera aleyrodidarum BT-B-HRs	0.358242	26.2	293	256
Candidatus Portiera aleyrodidarum BT-B-HRs	0.351658	26.2	291	253
Fervidicoccus fontis Kam940	1.31921	37.5	1439	1385
Cronobacter condimenti 1330	4.48062	55.8	4156	3633
Helicobacter cetorum MIT 99-5656	1.84779	35.5778	1733	1623
Chlorogloeopsis fritschii PCC 9212	7.64985	41.5	6483	6351
Chlorogloeopsis fritschii PCC 6912	7.75174	41.5	6616	6492
Fischerella muscicola SAG 1427-1 = PCC 73103	7.36026	40.3	6146	5798
Fischerella thermalis PCC 7521	5.43827	41	4471	4342
Pseudoalteromonas flavipulchra JG1	5.50399	43.2	4791	4579
Richelia intracellularis HM01	2.21291	33.8	1374	1119
Imtechella halotolerans K1	3.08695	35.5	2707	2641
Halomonas smyrnensis AAD6	3.56192	67.9	3226	3086
Desulfovibrio alaskensis G20	3.73023	57.8	3461	3326
Rheinheimera nanhaiensis E407-8	3.9872	51.3	3704	3585
Schlesneria paludicola DSM 18645	8.70239	55.6	7116	6920
Desulfocapsa sulfexigens DSM 10523	4.02351	45.389	3586	3500
Rhodococcus imtechensis RKJ300 = JCM 13270	8.23134	67.2	7658	7222
Staphylococcus vitulinus F1028	2.55948	32.4	2522	2444
gamma proteobacterium BDW918	4.30774	50.8	3828	3725
Actinoplanes missouriensis 431	8.77347	70.8	8006	7790
Mycobacterium xenopi RIVM700367	4.43484	66.1	4238	4029
Mycobacterium phlei RIVM601174	5.68195	69.2	5557	5375
Marinilabilia salmonicolor JCM 21150	4.98263	41.9	3879	3787
Marinilabilia salmonicolor JCM 21150	4.97154	41.9	4054	3389
Methylobacter marinus A45	4.98879	52.7	4469	4330
Streptomyces purpureus KA281	7.45833	71.5	6717	6452
Streptomyces globisporus C-1027	7.69362	71.6	6799	6399
Cyanobium gracile PCC 6307	3.34236	68.7	3236	3094
Dactylococcopsis salina PCC 8305	3.78101	42.4	3615	3412
Oscillatoria acuminata PCC 6304	7.80427	47.611	6037	5785
Mastigocladopsis repens PCC 10914	6.46565	43.5	5573	5323
Cylindrospermum stagnale PCC 7417	7.61059	42.1988	6393	6118
Crinalium epipsammum PCC 9333	5.62041	40.1979	4901	4706
Pseudanabaena biceps PCC 7429	5.47642	43.2	4597	4367
Stanieria cyanosphaera PCC 7437	5.54499	36.2677	4895	4742
Hydrocarboniphaga effusa AP103	5.19393	65.2	4525	4393
Bordetella holmesii F627	3.69305	62.7	3603	3309
Catenovulum agarivorans YM01	5.03268	40	4154	4002
Rickettsia honei RB	1.26876	32.4	1399	1171
Methanomassiliicoccus luminyensis B10	2.62023	60.5	2630	2529
Allobaculum stercoricanis DSM 13633	2.05288	37.8	1810	1688
Oribacterium sp. oral taxon 078 str. F0262	2.67655	54.7	2494	2326
Oribacterium sinus F0268	2.70695	43.1	2394	2154
Brevibacterium massiliense 5401308	2.34926	62.3	2132	2038
Alcanivorax hongdengensis A-11-3	3.66488	60.7	3422	3344
Bacillus siamensis KCTC 13613	3.7797	46.3	3696	3596
Amycolatopsis alba DSM 44262	9.81127	68.7	8835	8684
Thalassospira profundimaris WP0211	4.38023	55.2	4074	4001
Flavobacterium antarcticum DSM 19726	3.07904	35	2758	2695
Pseudomonas sp. UW4	6.18339	60.1	5511	5376
Ruegeria sp. TM1040	4.1537	60.054	3922	3810
Streptomyces sp. SirexAA-E	7.41444	71.7	6492	6333
Acinetobacter sp. ADP1	3.59862	40.4	3332	3222
Acinetobacter sp. RUH2624	3.95263	38.8	3731	3577
Acinetobacter sp. SH024	3.97084	38.8	3768	3620
Frankia sp. CcI3	5.43363	70.1	4596	4327
Frankia sp. EAN1pec	8.98204	71.2	7322	6940
Frankia sp. EuI1c	8.81578	72.3	7123	6876
Nitrosomonas sp. AL212	3.33702	44.7559	3156	3005
Nitrosomonas sp. Is79A3	3.78344	45.4	3515	3354
Halobacterium sp. NRC-1	2.57101	65.9192	2629	2540
Bacillus sp. 1NLA3E	4.8156	38	4612	4407
Bacillus sp. M 2-6	3.79565	41.1	3862	3752
Clostridium sp. SY8519	2.83574	50.7	2620	2489
Synechococcus sp. CC9902	2.23483	54.2	2349	2289
Synechococcus sp. CC9605	2.51066	59.2	2674	2583
Synechococcus sp. JA-3-3Ab	2.93277	60.2	2726	2590
Synechococcus sp. CC9311	2.60675	52.4	2690	2627
Synechococcus sp. PCC 7002	3.40993	49.1616	3203	3121
Synechococcus sp. WH 7803	2.36698	60.2	2505	2439
Synechococcus sp. RCC307	2.22491	60.8	2415	2348
Synechococcus sp. WH 8102	2.43443	59.4	2552	2461
Pyrococcus sp. NA2	1.86132	42.7	2014	1920
Erwinia sp. Ejp617	3.95768	53.6055	3602	3402
Enterobacter sp. 638	4.67646	52.919	4416	4275
Rahnella sp. Y9602	5.61425	52.1829	5141	5010
Nostoc sp. PCC 7120	7.21179	41.2243	6051	5823
Arthrobacter sp. FB24	5.07048	65.4189	4588	4434
Thermus sp. CCB_US3_UF1	2.26349	68.5739	2283	2201
Shewanella sp. MR-7	4.79911	47.8935	4222	4063
Shewanella sp. MR-4	4.70629	47.9	4110	3955
Shewanella sp. W3-18-1	4.70838	44.6	4255	4078
Shewanella sp. ANA-3	5.25115	47.9725	4592	4408
Thermococcus sp. 4557	2.01132	56.1	2143	2076
Bradyrhizobium sp. BTAi1	8.49351	64.7868	7605	7443
Bradyrhizobium sp. ORS 278	7.45659	65.5	6632	6515
Serratia sp. AS12	5.44301	56	5013	4883
Streptococcus sp. I-P16	2.02358	42.1	1930	1820
Synechocystis sp. PCC 6803	3.94702	47.3493	3673	3602
Synechocystis sp. PCC 6803	3.5711	47.7	3289	3224
Synechocystis sp. PCC 6803	3.94931	47.3461	3686	3618
Polaromonas sp. JS666	5.89868	61.9974	5569	5422
Thermoanaerobacter sp. X514	2.45726	34.5	2428	2312
Thermoanaerobacter sp. X513	2.45652	34.5	2430	2317
Azoarcus sp. BH72	4.37604	67.9	3997	3883
Sulfurovum sp. NBC37-1	2.56228	43.9	2570	2490
Mycobacterium sp. MCS	5.92052	68.431	5676	5578
Mycobacterium sp. KMS	6.25608	68.1928	6002	5901
Mycobacterium sp. JLS	6.04842	68.4	5781	5658
Lactobacillus sp. 7_1_47FAA	1.27472	32.8	1215	1130
Pantoea sp. At-9b	6.31278	54.3247	5872	5690
Methylomonas sp. MK1	5.23359	51.5	4728	4613
Deinococcus sp. 2009	4.01938	69.7	3787	3620
Methylosinus sp. LW4	4.82445	64.9	4436	4278
Methylophilus sp. 42	2.96834	50.4	2791	2742
Enterococcus sp. 7L76	3.09666	37.8	2348	2295
Methanobrevibacter sp. AbM4	1.99819	29	1734	1665
Calothrix sp. PCC 7507	7.02322	42.2	5988	5783
Arcobacter sp. L	2.94766	26.6135	2912	2822
Candidatus Aquiluna sp. IMCC13023	1.35986	51.7	1375	1311
Prevotella sp. oral taxon 299 str. F0039	2.48027	37.5003	1989	1903
Novosphingobium sp. PP1Y	5.31391	63.2525	4897	4738
Treponema sp. JC4	3.03205	40.3	2713	2547
Pseudanabaena sp. PCC 7367	4.88568	46.2126	3937	3790
Geitlerinema sp. PCC 7407	4.68111	58.5	3835	3727
Anabaena sp. 90	5.30567	38.0907	4667	4444
Pleurocapsa sp. PCC 7327	4.98682	45.2	4498	4252
Microchaete sp. PCC 7126	5.74226	42.2	5120	4934
Fischerella sp. JSC-11	5.38	41	4475	4336
Gloeocapsa sp. PCC 7428	5.88271	43.3899	5141	4941
Microcoleus sp. PCC 7113	7.96651	46.2006	6554	6298
Herbaspirillum sp. YR522	5.11304	63.8	4550	4357
Citrobacter sp. 30_2	5.02321	51.8	4722	4593
Methylobacterium sp. 4-46	7.73703	71.5192	6800	6557
Xenococcus sp. PCC 7305	5.92964	39.7	5199	4992
Amycolatopsis sp. ATCC 39116	8.39431	71.9	8128	7934
Candidatus Arthromitus sp. SFB-mouse-Japan	1.62	28.3	1560	1481
Candidatus Arthromitus sp. SFB-rat-Yit	1.51556	28	1427	1347
Candidatus Arthromitus sp. SFB-mouse-Yit	1.5864	28.1	1520	1459
Citreicella sp. SE45	5.52323	67.4	5221	4963
Paracoccus sp. TRP	3.91519	62.9	3882	3748
Agrobacterium fabrum str. C58	5.67426	59.0606	5459	5355
Bdellovibrio exovorus JSS	2.65789	41.9	2639	2591
Chelativorans sp. BNC1	4.93518	61.1217	4657	4509
Jannaschia sp. CCS1	4.40405	62.2121	4344	4244
Nocardioides sp. JS614	5.29368	71.4849	5055	4918
Epulopiscium sp. 'N.t. morphotype B'	2.68605	38.2	2064	1949
Lyngbya sp. PCC 8106	7.03751	41.1	5805	5500
Sulfitobacter sp. EE-36	3.5485	60.3	3436	3343
Erythrobacter sp. NAP1	3.26617	61	3141	3070
Nitrobacter sp. Nb-311A	4.10728	60.4	3895	3654
Polaribacter sp. MED152	2.96147	30.6	2655	2601
Janibacter sp. HTCC2649	4.23507	68.4	4022	3914
Photobacterium sp. SKA34	4.99277	39.6	4489	4119
Roseovarius sp. 217	4.77074	60.8	4598	4453
Psychromonas sp. CNPT3	3.05241	38.6	2691	2557
Marinobacter sp. BSs20148	4.06386	54.1	3715	3569
Marinomonas sp. MWYL1	5.10034	42.6	4631	4482
Roseobacter sp. MED193	4.67407	57.4	4430	4311
Maribacter sp. HTCC2170	3.8683	37	3386	3321
Acidovorax sp. JS42	4.58515	66.1144	4284	4102
Psychrobacter sp. PRwf-1	2.99505	44.8661	2490	2385
Roseiflexus sp. RS-1	5.8016	60.4	4763	4639
Geobacter sp. M21	4.74581	60.5	4138	4033
Geobacter sp. M18	5.27741	61.2	4508	4368
Brevibacillus sp. BC25	6.27908	47.2	5875	5689
Caulobacter sp. K31	5.8894	67.3835	5450	5320
Janthinobacterium sp. Marseille	4.11025	54.2	3834	3757
Acaryochloris sp. CCMEE 5410	7.87548	47.1	7343	6769
Anaeromyxobacter sp. Fw109-5	5.27799	73.5	4615	4454
Anaeromyxobacter sp. K	5.06163	74.8	4512	4432
Eubacterium sp. 3_1_31	3.09846	38	2867	2777
Eubacterium sp. 3_1_31	3.57145	37.9	3291	3193
Sulfurihydrogenibium sp. YO3AOP1	1.83844	32	1823	1710
Hydrogenobaculum sp. Y04AAS1	1.55951	34.8	1658	1595
Cyanothece sp. ATCC 51142	5.46038	37.967	4990	4898
Cyanothece sp. PCC 8801	4.78769	39.7959	4444	4300
Cyanothece sp. PCC 7424	6.55417	38.5033	5786	5600
Cyanothece sp. PCC 7425	5.78611	50.6603	5317	5120
Cyanothece sp. PCC 8802	4.80335	39.7978	4475	4347
Cyanothece sp. PCC 7822	7.84195	39.874	6842	6610
Nitratiruptor sp. SB155-2	1.87793	39.7	1980	1911
Alcanivorax sp. DG881	3.80473	58.2	3418	3339
Brevundimonas sp. BAL3	3.64607	67.3	3529	3420
Carnobacterium sp. 17-4	2.6854	35.2291	2557	2444
Cyanobium sp. PCC 7001	2.83425	68.7	2764	2642
Hydrogenivirga sp. 128-5-R1-1	3.03824	43.8	3486	3044
Limnobacter sp. MED105	3.39027	52.2	3180	3063
Pedobacter sp. BAL39	5.78805	44.9	4890	4746
Candidatus Pelagibacter sp. IMCC9063	1.28473	31.7	1378	1292
Pseudovibrio sp. FO-BEG1	5.91678	52.4149	5315	5199
Stenotrophomonas sp. SKA14	5.02045	66.3	4577	4451
Thermotoga sp. RQ2	1.87769	46.2	1909	1832
Thauera sp. MZ1T	4.57459	68.2955	4029	3897
Glaciecola sp. 4H-3-7+YE-5	5.39359	44.0608	4621	4500
Paenibacillus sp. JDR-2	7.18493	50.3	6322	6128
Paenibacillus sp. Y412MC10	7.12167	51.2	6302	6152
Chloroflexus sp. Y-400-fl	5.26895	56.7	4122	3989
Exiguobacterium sp. AT1b	2.99989	48.5	3092	2989
Thioalkalivibrio sp. K90mix	2.98506	65.562	2884	2803
Blattabacterium sp. (Blattella germanica) str. Bge	0.640935	27.1172	624	566
Blattabacterium sp. (Periplaneta americana) str. BPLAN	0.640442	28.2016	633	582
Blattabacterium sp. (Mastotermes darwiniensis) str. MADAR	0.590336	27.523	589	537
Blattabacterium sp. (Cryptocercus punctulatus) str. Cpu	0.609561	23.8419	587	537
Bacteroides sp. 2_1_33B	4.92704	44.9	3982	3832
Coprobacillus sp. D7	3.52773	31.4	3432	3082
Azospirillum sp. B510	7.59974	67.6272	6627	6380
Wolbachia sp. wRi	1.44587	35.2	1350	1248
Micromonospora sp. L5	6.96253	72.8	6218	6093
Desulfovibrio sp. FW1012B	4.22167	66.4619	3704	3619
Rhodobacter sp. SW2	3.51434	65.1	3385	3262
Dermacoccus sp. Ellin185	3.11536	69	2872	2649
Acidaminococcus sp. D21	2.23897	50.2	2133	2042
Methanocaldococcus sp. FS406-22	1.77314	31.9972	1858	1778
Actinomyces sp. oral taxon 848 str. F0332	2.52042	64.4	2124	1986
Parabacteroides sp. D13	5.37071	45.2	4498	4336
Dorea sp. 5-2	6.14581	46.1	5806	5365
Ralstonia sp. 5_7_47FAA	5.24982	63.6	4881	4713
Porphyromonas sp. oral taxon 279 str. F0450	2.2652	55.5	1774	1677
Propionibacterium sp. 409-HC1	2.52853	60.1	2430	2199
Synergistes sp. 3_1_syn1	3.28726	56	2995	2839
Olsenella sp. oral taxon 809 str. F0356	2.16386	66.4	1924	1802
Alistipes sp. HGB5	3.46461	57.5	2936	2814
Anaerostipes sp. 3_2_56FAA	3.28632	44.4	3333	2958
Eggerthella sp. YY7918	3.12367	56.2	2636	2516
Neisseria sp. oral taxon 014 str. F0314	2.51576	52.8	2352	2208
Subdoligranulum sp. 4_3_54A2FAA	4.21454	56.1	4154	3956
Tannerella sp. 6_1_58FAA_CT1	3.86797	39.7	3198	3032
Halothece sp. PCC 7418	4.17917	42.9	3822	3663
Bartonella sp. DB5-6	2.14764	39	1944	1750
Bilophila sp. 4_1_30	4.61831	59	4025	3724
Peptoniphilus sp. oral taxon 386 str. F0131	1.56939	31.1	1510	1404
Veillonella sp. 6_1_27	2.17442	38.7	1959	1888
Brenneria sp. EniD312	4.94377	55.9	4492	4318
Capnocytophaga sp. oral taxon 338 str. F0234	2.54842	37	2334	2208
Coprococcus sp. ART55/1	3.12301	44.6	2162	2128
Delftia sp. Cs1-4	6.68584	66.7	5875	5729
Collinsella sp. GD3	2.33079	65.8	2022	1899
Ahrensia sp. R2A130	3.73105	56.9	3418	3302
Roseibium sp. TrichSKD4	5.69689	53.8	5568	5232
Alteromonas sp. SN2	4.97215	43.5	4358	4172
Afipia sp. 1NLS2	3.97176	61.3	3803	3703
Pseudonocardia sp. P1	6.38877	73.2	6261	5529
Haemophilus sp. oral taxon 851 str. F0397	1.83862	38.3	1772	1687
Selenomonas sp. oral taxon 149 str. 67H29BP	2.47112	56.7	2323	2221
Sphingobacterium sp. 21	6.22641	41.1	5202	5084
Methylovorus sp. MP688	2.86239	55.4	2702	2629
Methylocystis sp. SC2	3.77344	63.4	3646	3562
Turicibacter sp. HGF1	2.94747	34.1	2767	2682
Desulfosporosinus sp. OT	5.70234	42.1	5455	5120
Citromicrobium sp. JLT1363	3.11732	64.9	2970	2895
Thiorhodovibrio sp. 970	5.34286	60.2	4749	4476
Lacinutrix sp. 5H-3-7-4	3.29617	30.8	2974	2914
Rivularia sp. PCC 7116	8.72877	37.4958	6682	6463
Megasphaera sp. UPII 199-6	1.64079	46.4	1507	1407
Desmospora sp. 8437	3.69373	53.8	3574	3350
Gluconacetobacter sp. SXCC-1	4.23334	62.4	3860	3614
Pusillimonas sp. T7-7	3.92481	56.8906	3666	3565
Rheinheimera sp. A13L	4.52349	46.2	4021	3909
Nitrosopumilus sp. SJ	1.65082	34.2	1954	1858
Sphingobium sp. SYK-6	4.34813	65.5589	4020	3899
Francisella sp. TX077308	2.03593	32.9	1971	1884
Idiomarina sp. A28L	2.59157	45.5	2340	2248
Halomonas sp. TD01	4.0917	52.5	3731	3550
Oceanicola sp. S124	4.64947	67.3	4463	4106
Leuconostoc sp. C2	1.87727	37.9	1881	1786
Acidiphilium sp. PM	3.92946	66.4	3794	3287
Citricoccus sp. CH26A	3.46693	70.9	3027	2792
Oceanimonas sp. GK1	3.52724	61.0773	3303	3177
Nesterenkonia sp. F	2.81213	71.5	2523	2269
Pseudogulbenkiania sp. NH8B	4.333	64.4	3998	3870
Ectothiorhodospira sp. PHS-1	2.94321	63.7	2735	2584
Anaerococcus sp. PH9	2.04943	30.1	1920	1592
Paenisporosarcina sp. TG20	4.11538	36.6	3742	3576
Xanthomonas sp. SHU199	4.83722	68.9	4285	3722
Desulfitobacterium sp. PCE1	4.22058	45	3973	3850
Actinoplanes sp. SE50/110	9.23985	71.3	8199	7912
Sulfurimonas sp. AST-10	2.30202	34.9	2248	2188
Atopobium sp. ICM58	2.3905	66.5	2068	1855
Mogibacterium sp. CM50	1.88852	44.2	1751	1625
Slackia sp. CM382	2.05191	62	1741	1679
Rhizobium sp. AP16	6.49762	60.2	6112	5967
Dehalobacter sp. CF	3.09205	44.3	2942	2860
Cellvibrio sp. BR	4.85068	48.8	4144	4047
Pontibacter sp. BAB1700	4.53722	50	4331	3621
Chryseobacterium sp. CF314	4.48467	36.6	4070	3937
Phyllobacterium sp. YR531	4.9973	53	4806	4701
Oceanicaulis sp. HTCC2633	3.17205	63.6	2997	2918
Hydrogenophaga sp. PBC	5.14453	68.4	4936	4789
Cycloclasticus sp. P1	2.36321	42	2277	2224
Bordetella sp. FB-8	4.07972	63.4	3810	3683
Microcystis sp. T1-4	4.69375	42.8	4402	4095
Jonquetella sp. BV3C21	1.65427	59.7	1545	1462
Propionimicrobium sp. BV2F7	2.02797	56.1	1844	1766
Pectobacterium sp. SCC3193	5.16441	50.4	4656	4400
Thiovulum sp. ES	2.08059	33	2148	2104
Enterovibrio norvegicus FF-454	5.00164	47.3	4396	4284
